BairroId;CidadeId;Nome;NomeAbreviado;NomeFonetizado
DF06A6DF-9958-48CF-8670-009D2A9FC455;2C7A68DC-B80B-4200-B1E9-8BD1DD8C91AE;Jardim da Cidade IV;NULL;JARDIM DA SDADE IV
3DE7BEAD-B65E-4C3F-8F8B-009E90BD1E1F;AFF6FA67-EEC6-408B-8C3C-40DF7986073C;Santa Clara;NULL;SAMTA KRARA
9526B41D-A1EF-4C42-84AF-00A2815CC643;5661AF96-4B74-41AB-B3DD-745902EE54DE;Planalto Ipiranga;NULL;PRAMATO IPIRAGA
EFE8D4ED-FD77-46CF-8910-00A2D5C9153F;7F82C2FF-F5BC-4C96-9287-CD81EDC10620;Morada do Sol;NULL;MORADA DO SOU
8824D700-B8AD-4770-82BD-00A359835AEF;13DF3BAD-FCE8-473C-957F-F7AE26F46A57;Ulisses Guimarães;NULL;URISES GUIMARAE
3D761F49-7543-4723-B503-00A5B59A9510;9EBE86E3-708D-4B05-83FE-29B97614E589;Vila Poroxo;NULL;VIRA POROSO
E9617180-1912-4CE7-AA48-00A613CA0493;02E0B0C2-86BB-4A22-A59D-C6B431E1DF47;Antônio Zanaga I;NULL;AMTÔMIO SAMAGA I
408AE209-1262-48D0-ACBA-00A7B782B391;BAD23A71-A26C-42A0-A737-256BFF83041E;Vila Constança de Calvos;NULL;VIRA KMTAMSA DE KRVO
A273280A-7C6E-4E62-9DB0-00A8E15AF0C9;A3D0C8E6-432A-4BBA-BFB3-A8B4B68DA980;Parque Tamandaré;NULL;PARKUE TAMAMARE
2B87FF45-BF2B-485C-B30A-00AA7CC83F0B;8AC34E5E-B9D7-4084-8B12-B36C94479C3E;Josa Bernardino II;NULL;JOSA BERMARDIMO I
4AA422ED-AE33-4103-B412-00ACF60726BE;1060A077-1065-41D7-BF7A-79AEC917263A;Parque Caiuá;NULL;PARKUE KIUA
4314552C-04B1-4D1B-9880-00AD18EEE637;A7D5C62B-C78A-4E4C-A844-7FF8BC86C36F;Jardim das Bandeiras;NULL;JARDIM DAS BAMEIRA
9E1D7A2C-582E-414A-B086-00AE25C65FDE;369AA753-605C-4E04-B754-08718417CCA5;Jardim Santa Josefina;NULL;JARDIM SAMTA JOSEFIMA
83AB77C3-0B8C-4F42-8A89-00B04A2881A6;018782F4-1B73-4A38-AAF3-404969E452E1;Vila Cintra;NULL;VIRA SMTA
D9B794FB-F80F-46D2-9E74-00B19611EB10;A7EB06A1-3797-4974-9F84-373945F38FE0;Jardim Santa Cecília;NULL;JARDIM SAMTA SRIA
7FA294A6-A71C-4A27-8A6D-00B240143EAC;75142C13-2BA8-4FB6-AD5F-B2E04F0008CA;Vila Alvorada;NULL;VIRA ARVORADA
8B5AB905-3977-470B-979E-00B2F8531254;6AD97C54-5462-4F0E-B79E-7E252DF0C465;Residencial Dom João Costa;NULL;RESIDEMSAR DOM JOAO KTA
76F79586-ED24-48BE-A4DF-00B40DBF10B2;160DD944-E0EA-414F-B5E1-27A44985DB34;Jardim São José;NULL;JARDIM SAO JOSE
BE5BB6E3-F924-4BE4-8411-00B423A6D945;7961A397-9293-49B8-B7F5-0E86B23284B8;Parque Copacabana;NULL;PARKUE KPAKBAMA
C71E793A-E795-4523-96D7-00B9C56681E0;C24D2757-C0EF-4C09-9BEE-73E87E4EE251;Nova Esperança;NULL;MOVA ESPERAMSA
6BCCF801-8427-44C7-9135-00BB4A52593D;6AD97C54-5462-4F0E-B79E-7E252DF0C465;Pedrinhas;NULL;PEDRIMA
CDAE8F4D-2A36-4B62-B56A-00BE7C336009;9763931F-1F6A-4774-A388-1B0B9CFC8074;Vila Maria Luiza;NULL;VIRA MARIA RUISA
DF9080BE-E89D-47F5-BD98-00BEA877901E;4FB7B1B1-8209-44FF-ABCB-E73C551FA25F;CDL;NULL;KDU
5FB39B7E-B783-4547-97DE-00BFECD31989;83E72133-FF2D-4585-B65F-72EA03A1C0AB;Jardim Monte Líbano;NULL;JARDIM MOMTE RIBAMO
6CC5E374-B2AA-48AF-B869-00C00398CD2C;6E605C15-F45B-49E7-8E6F-FE19428080AC;Centro;NULL;SMTO
178317A2-0518-4A9C-BFBC-00C1BB809C10;0A34D20D-2C06-4CD8-8682-79E5C6AF9C23;Centro;NULL;SMTO
8719DBEE-55B2-4E9F-BDAE-00C886C54E8C;74E81BDA-CBF7-461B-9E81-E1EA114F8E3B;Travessão;NULL;TAVES
A0B0A6CB-5112-48B7-97D3-00CBD28EDFC5;2C7A68DC-B80B-4200-B1E9-8BD1DD8C91AE;Nossa Senhora do Monte Serrat;NULL;MOSA SEMORA DO MOMTE SERAT
F1CDBD24-72E2-456B-A603-00CC75EA6E68;AC2C8877-9607-4ED4-962A-7747CDB1400F;Vila Nipônica;NULL;VIRA MIPÔMIK
895094AF-6CF6-4E47-AA63-00D04EF417B4;43509735-E078-4662-B1CD-08DD6E835369;Vila Wilson;NULL;VIRA VIRSO
E21B4FCB-1074-463D-A7A9-00D0E927231A;6EB53142-AF91-447F-B803-BD671DEE4013;Residencial Abussafe II;NULL;RESIDEMSAR ABUSAFE I
1C336AF0-3B6F-4B1D-B1AD-00D88C2EAA10;AFFF96F6-474D-4051-B359-71245F8C1DA3;Vila Roma;NULL;VIRA ROMA
76B3C27E-8AE6-4105-9AD2-00D9B990053A;2C7A68DC-B80B-4200-B1E9-8BD1DD8C91AE;Buru;NULL;BURU
2A72EC56-5C8E-48BF-937F-00DC9875C7F1;1EC2D483-D757-42BF-8A3D-2D3AB6E969E1;Jardim Califórnia;NULL;JARDIM KRIFORMIA
E4F43E61-B269-4457-AAE7-00E1BB584EAF;6EB53142-AF91-447F-B803-BD671DEE4013;Jardim Portal de Itamaracá;NULL;JARDIM POTAR DE ITAMARAK
83DB1567-6735-4884-B7FB-00E2D10D5521;A7530DD0-5ADA-47A8-81BE-C27536EB1897;Vila Esperança;NULL;VIRA ESPERAMSA
2F3CDFA1-E161-449F-9C00-00E4C813D139;4302AB83-68E1-4D69-BB95-9D811991E099;Jardim Vale do Verde;NULL;JARDIM VARE DO VERDE
45493D09-58CC-4DA7-BDE5-00E60D2D7108;0AF635F8-BF6A-4BF9-9863-9BBA767C5C53;Jardim Santa Helena;NULL;JARDIM SAMTA EREMA
FAD118A6-004D-41FB-BE53-00E6C724BFD1;CA7D5ABF-C96D-40B7-8D1E-CE83B8B0BF99;Jardim Residencial Etemp;NULL;JARDIM RESIDEMSAR ETEMP
A92C185A-1AA0-4D27-BBDC-00E94DA54684;7DAA2BA8-AB8A-4C10-9A9D-A921975D1C19;Parque da Conceição;NULL;PARKUE DA KMSIS
AF1572C5-FCFF-41E3-814B-00EA9B42A2D3;92AE3C12-F607-4F5C-9A23-2D235E5E0C2E;Centro;NULL;SMTO
6D59038C-34CD-4402-B1E7-00EEC27A5F85;D92324FA-CFD2-4ADC-9453-40098AA0A723;Centro;NULL;SMTO
2C9E01BB-AB98-4DCA-86F7-00EF7931E8B3;CA57FBDA-5582-4B97-8BC9-2E53183E4F93;Jardim Valença;NULL;JARDIM VAREMSA
9D6ACD6D-35BA-48FA-A5D1-00F3C053C031;369AA753-605C-4E04-B754-08718417CCA5;Jardim Petrópolis;NULL;JARDIM PETOPORI
4F400505-4D6F-4B09-83AE-00F6065B0E39;90FA47EB-A8FC-476B-BD3B-774FCFB81A58;Residencial Jardim dos Buritis;NULL;RESIDEMSAR JARDIM DOS BURITI
77D13511-80A0-4832-B986-00F681262C81;602A66B4-829B-49A5-9EB3-89E59C7AE341;Centro;NULL;SMTO
CF194221-DF20-4207-A87C-00F7E5AAC322;E1CD53F7-9715-4696-8CA1-5653DB022AE2;Jardim Três Marias;NULL;JARDIM TES MARIA
397E1CED-0F59-4278-9579-00F930FF53C0;E3EAC89F-2CBC-4542-95E1-145491BA333D;Centro;NULL;SMTO
0E6E0667-32ED-4E46-8AD6-00FF978E7A37;50F0B8B7-2976-41E9-8B0C-2B0653FE5F8E;Bonfim;NULL;BOMFI
EF9D795F-1217-4BA3-B8A0-01030F9B82D6;EA37DC91-4FD7-4069-9EF8-183A9A01B226;Jardim Maria Alice;NULL;JARDIM MARIA ARI
27EC903D-EAA9-4EF1-8F20-0104BC86B96F;6EB53142-AF91-447F-B803-BD671DEE4013;Del Rey;NULL;DER REI
E488C4F7-2EE1-44E6-A6C4-0106FE3544DE;6EC7DD7D-4C79-4109-BCDB-48B38D980F29;Chácara São Silvestre;NULL;SAKRA SAO SIRVETE
21C8EAAE-ECDB-425A-80F8-01075AA5BCC9;89212CBC-31C1-49AB-83A5-2AA981799B5F;Centro;NULL;SMTO
A13D009A-8A83-432D-80D0-0107BEF1AAF9;8FE02606-9835-40A5-850A-A4DD038EB273;Centro;NULL;SMTO
795563E1-20F8-4EC1-A595-010F3F721E20;5C38286B-FF45-4191-9436-D8600369F306;Estância Piratininga;NULL;ETÂMSA PIRATIMIGA
C7FA4B6F-AA30-4CE1-9CBD-011145215DB0;50F0B8B7-2976-41E9-8B0C-2B0653FE5F8E;Chácara Cneo;NULL;SAKRA KMEO
C4A6326D-C906-460E-8380-01114731CBA5;A84F3277-9FE7-4E66-9776-BCCE2230FCCE;Conjunto Habitacional Luiz Secchi;NULL;KJUMTO ABITASOMAR RUIS SESI
1A7E686F-7134-4C3C-8B0E-0111B2140FED;6F935E1C-26C9-4F59-B214-832B1488FF23;Igrejinha;NULL;IGEJIMA
63B40D67-8EFB-4092-B299-01120A44BA05;9BC2D38B-C234-4FF0-AC87-E016298649F3;Massaranduba;NULL;MASARAMUBA
988771C1-64CE-4DF2-B85D-0113263D954E;30CD4DC3-7C52-4E60-905D-7A673B945333;Chácara Recreio Santa Terezinha;NULL;SAKRA REKREIO SAMTA TERESIMA
8A3EE038-0AB5-4084-B3A4-011625859280;2C1189C7-3553-42B8-ADF2-665059C70F3E;Vale das Parreiras;NULL;VARE DAS PAREIRA
BF63D8AE-40C2-460C-9B65-01164AD52DAB;09C12834-B58A-4B78-93F9-AE8F93C5AC5F;Centro;NULL;SMTO
BAA5D702-3A68-4133-A955-011782F0BF75;C549C7D2-B86D-4B2A-8086-1D986CF2B71C;Centro;NULL;SMTO
B1CA2C47-6118-4B64-9C78-011A5708470F;6EB53142-AF91-447F-B803-BD671DEE4013;Jardim Paris;NULL;JARDIM PARI
2501FABB-0FEE-4181-A3D2-011A5B902ADF;1A025CFA-B77F-40CA-80FF-86AAD45BA7C1;Vila dos Bandeirantes;NULL;VIRA DOS BAMEIRAMTE
F329582A-C3ED-467D-BB67-011AA8211422;6BC1DECF-6F58-4C06-9FD6-34D80CDD1C7A;Santa Cruz;NULL;SAMTA KRU
994ACFFE-AC47-4B88-B6F5-011CE4B1D835;7B6916EE-A2BC-4598-86E7-A364016DF132;São Vicente;NULL;SAO VISMTE
DE283536-AC9D-4172-A56C-01215BBB99C1;7AC3CEF3-C127-4E12-81B3-FAD64CAD28B6;Centro;NULL;SMTO
DAF482C4-9BC1-4B07-8A33-012279FFEAD2;64726001-626B-4581-A604-E7CB4B268CCA;Cajueiro;NULL;KJUEIRO
8F500217-359A-4304-9EA7-012291CA04A6;6BF1407D-5180-4B70-B7D0-D361C9ED7A20;Jardim Rebelato;NULL;JARDIM REBERATO
6E7572B1-1CD4-4747-90BB-0122BB348D94;C60217B2-18D7-4B8F-BA62-F4DE43E7EA67;Alto Alegre;NULL;ATO AREGE
02644358-16D1-4951-9E07-0122FD6CE25E;19F37BBA-CC00-4534-80FD-D29CAB085D6B;Centro;NULL;SMTO
20327F75-5FCB-44B5-BE5B-0127D498FCCB;FE6A0D9E-2D74-4605-BB5B-7975E60E2A17;Penha (Justinópolis);NULL;PEMA (JUTIMOPORIS)
62A0257C-8684-4DD3-ABAB-012829B4A539;BAD23A71-A26C-42A0-A737-256BFF83041E;Vila Guanabara;NULL;VIRA GUAMABARA
C05EB258-74E5-44EF-864C-0128479182C3;755E82B8-E456-42B9-A91D-B952994F6F4F;Palmeira de Fora;NULL;PARMEIRA DE FORA
BF6E24D7-B6C3-45BE-A5F3-012899C18D19;70C0FF30-7108-4ED3-B309-A272F345E138;Vila São José;NULL;VIRA SAO JOSE
712C48DC-3181-4250-B63B-012D063A59E5;369AA753-605C-4E04-B754-08718417CCA5;Vila Antônio dos Santos;NULL;VIRA AMTÔMIO DOS SAMTO
157D445B-E81A-4FD5-9628-013032EEC68F;8AC94EA5-58F9-41D6-807A-3C2468A3A1D7;Jardim Nicolau;NULL;JARDIM MIKRAU
A658A91D-B4C7-4D6C-9FA5-013332E90A6C;3C84973E-BF32-4666-B170-72660FCCCBA4;Rincão dos Marandas;NULL;RIMKO DOS MARAMA
471975A8-0348-446A-93D6-0135664B1271;369AA753-605C-4E04-B754-08718417CCA5;Iguatemi;NULL;IGUATEMI
869E319D-296D-4CAD-9C05-0136BF4076F0;684781EF-E1DC-4E07-9A35-BD4E34F59549;Residencial Arco-Íris;NULL;RESIDEMSAR ARK-IRI
3B4CE7E8-B198-4C7F-9524-0136DF852D2F;886C1EA4-EC8D-4C66-AFB4-A306863E740D;Alves Cardosos;NULL;ARVES KRDOSO
41834120-5011-4978-BA10-013813784FED;9A3FC8C2-7C47-4166-A2C4-0853344359E7;Jardim Santa Clara (Nova Veneza);NULL;JARDIM SAMTA KRARA (MOVA VEMESA)
FEE65A71-2FFC-4738-A628-013E1FCB8DA5;696C6A0E-8AC1-4836-A610-81723705D430;Centro;NULL;SMTO
0A640999-5B4C-4078-A30D-013F2B23D42A;33D9C3D6-0819-4E2F-A84A-6D7471AD6E35;Sítio Taquaral;NULL;SITIO TAKUARAU
